Timestamp,Price
02.01.2017 04:45 - 02.01.2017 05:00,33.92
02.01.2017 05:00 - 02.01.2017 05:15,1.69
02.01.2017 05:15 - 02.01.2017 05:30,14.5
02.01.2017 05:30 - 02.01.2017 05:45,35.41
02.01.2017 05:45 - 02.01.2017 06:00,56
02.01.2017 06:00 - 02.01.2017 06:15,-6
02.01.2017 06:15 - 02.01.2017 06:30,23
02.01.2017 06:30 - 02.01.2017 06:45,52.08
02.01.2017 06:45 - 02.01.2017 07:00,64.22
02.01.2017 07:00 - 02.01.2017 07:15,20.15
02.01.2017 07:15 - 02.01.2017 07:30,40
02.01.2017 07:30 - 02.01.2017 07:45,56
02.01.2017 07:45 - 02.01.2017 08:00,65.5
02.01.2017 08:00 - 02.01.2017 08:15,38.12
02.01.2017 08:15 - 02.01.2017 08:30,40.6
02.01.2017 08:30 - 02.01.2017 08:45,44
02.01.2017 08:45 - 02.01.2017 09:00,45.6
02.01.2017 09:00 - 02.01.2017 09:15,48.87
02.01.2017 09:15 - 02.01.2017 09:30,47.3
02.01.2017 09:30 - 02.01.2017 09:45,48.6
02.01.2017 09:45 - 02.01.2017 10:00,43.7
02.01.2017 10:00 - 02.01.2017 10:15,50.8
02.01.2017 10:15 - 02.01.2017 10:30,45.57
02.01.2017 10:30 - 02.01.2017 10:45,48.4
02.01.2017 10:45 - 02.01.2017 11:00,50.72
02.01.2017 11:00 - 02.01.2017 11:15,51.48
02.01.2017 11:15 - 02.01.2017 11:30,56
02.01.2017 11:30 - 02.01.2017 11:45,49.5
02.01.2017 11:45 - 02.01.2017 12:00,45.8
02.01.2017 12:00 - 02.01.2017 12:15,57.24
02.01.2017 12:15 - 02.01.2017 12:30,50.9
02.01.2017 12:30 - 02.01.2017 12:45,47.7
02.01.2017 12:45 - 02.01.2017 13:00,45.84
02.01.2017 13:00 - 02.01.2017 13:15,56
02.01.2017 13:15 - 02.01.2017 13:30,56
02.01.2017 13:30 - 02.01.2017 13:45,53.4
02.01.2017 13:45 - 02.01.2017 14:00,42
02.01.2017 14:00 - 02.01.2017 14:15,44.59
02.01.2017 14:15 - 02.01.2017 14:30,54
02.01.2017 14:30 - 02.01.2017 14:45,48.89
02.01.2017 14:45 - 02.01.2017 15:00,50.5
02.01.2017 15:00 - 02.01.2017 15:15,46.45
02.01.2017 15:15 - 02.01.2017 15:30,49.64
02.01.2017 15:30 - 02.01.2017 15:45,54.89
02.01.2017 15:45 - 02.01.2017 16:00,57.01
02.01.2017 16:00 - 02.01.2017 16:15,44.32
02.01.2017 16:15 - 02.01.2017 16:30,49.5
02.01.2017 16:30 - 02.01.2017 16:45,70.81
